id,source,persuasiveness_count,persuasiveness_mean_raw,persuasiveness_mean_norm,strength_count,strength_mean_raw,strength_mean_norm,eloquence_count,eloquence_mean_raw,eloquence_mean_norm,relevance_count,relevance_mean_raw,relevance_mean_norm,specificity_count,specificity_mean_raw,specificity_mean_norm,evidence_count,evidence_mean_raw,evidence_mean_norm,logos_count,logos_rate,ethos_count,ethos_rate,pathos_count,pathos_rate,overall_quality_mean_raw,overall_quality_mean_norm,annotated_component_count
essay011,raw\essays.zip,19,2.894737,0.378947,11,3.272727,0.454545,19,2.894737,0.378947,17,3.647059,0.529412,19,3.105263,0.421053,19,1.421053,0.084211,8,0.875,8,0.0,8,0.375,2.872596,0.374519,19
essay012,raw\essays.zip,14,3.214286,0.442857,9,3.555556,0.511111,14,2.285714,0.257143,13,5.384615,0.876923,14,3.142857,0.428571,14,1.5,0.1,5,0.8,5,0.0,5,0.0,3.180505,0.436101,14
essay013,raw\essays.zip,20,3.35,0.47,12,3.666667,0.533333,20,3.15,0.43,18,4.333333,0.666667,20,2.8,0.36,20,1.6,0.12,8,0.625,8,0.0,8,0.375,3.15,0.43,20
essay014,raw\essays.zip,14,3.357143,0.471429,9,3.555556,0.511111,14,3.0,0.4,13,4.461538,0.692308,14,2.857143,0.371429,14,1.785714,0.157143,5,0.6,5,0.0,5,0.6,3.169516,0.433903,14
essay015,raw\essays.zip,15,4.466667,0.693333,10,4.5,0.7,15,3.2,0.44,13,5.384615,0.876923,15,3.4,0.48,15,2.333333,0.266667,5,0.8,5,0.0,5,0.0,3.880769,0.576154,15
essay016,raw\essays.zip,13,2.461538,0.292308,6,3.0,0.4,13,2.692308,0.338462,11,4.454545,0.690909,13,2.538462,0.307692,13,1.615385,0.123077,7,0.571429,7,0.0,7,0.142857,2.793706,0.358741,13
essay017,raw\essays.zip,17,2.705882,0.341176,6,3.666667,0.533333,17,2.647059,0.329412,15,5.333333,0.866667,17,2.529412,0.305882,17,1.588235,0.117647,11,0.454545,11,0.0,11,0.0,3.078431,0.415686,17
essay018,raw\essays.zip,18,3.277778,0.455556,9,3.888889,0.577778,18,3.0,0.4,17,4.764706,0.752941,18,2.611111,0.322222,18,2.111111,0.222222,9,0.555556,9,0.0,9,0.222222,3.275599,0.45512,18
essay019,raw\essays.zip,17,3.294118,0.458824,10,3.7,0.54,17,3.0,0.4,16,5.3125,0.8625,17,2.764706,0.352941,17,1.764706,0.152941,7,0.571429,7,0.0,7,0.0,3.306005,0.461201,17
essay020,raw\essays.zip,13,3.769231,0.553846,6,4.5,0.7,13,3.307692,0.461538,11,5.818182,0.963636,13,3.538462,0.507692,13,1.923077,0.184615,7,0.571429,7,0.0,7,0.0,3.809441,0.561888,13
essay021,raw\essays.zip,18,2.055556,0.211111,9,2.111111,0.222222,18,3.055556,0.411111,16,4.5,0.7,18,2.055556,0.211111,18,1.444444,0.088889,9,0.666667,9,0.0,9,0.0,2.537037,0.307407,18
essay022,raw\essays.zip,11,3.181818,0.436364,7,3.571429,0.514286,11,3.090909,0.418182,10,4.6,0.72,11,2.636364,0.327273,11,1.909091,0.181818,4,0.75,4,0.0,4,0.0,3.164935,0.432987,11
essay023,raw\essays.zip,14,2.857143,0.371429,5,4.4,0.68,14,2.857143,0.371429,12,3.916667,0.583333,14,3.071429,0.414286,14,1.428571,0.085714,9,0.666667,9,0.0,9,0.0,3.088492,0.417698,14
essay024,raw\essays.zip,13,3.307692,0.461538,6,4.166667,0.633333,13,2.384615,0.276923,12,4.833333,0.766667,13,2.846154,0.369231,13,2.307692,0.261538,7,0.714286,7,0.0,7,0.0,3.307692,0.461538,13
essay025,raw\essays.zip,11,3.909091,0.581818,6,4.666667,0.733333,11,3.181818,0.436364,10,5.7,0.94,11,3.636364,0.527273,11,2.636364,0.327273,5,0.8,5,0.0,5,0.0,3.955051,0.59101,11
essay026,raw\essays.zip,13,3.076923,0.415385,5,4.6,0.72,13,3.230769,0.446154,11,5.363636,0.872727,13,3.153846,0.430769,13,2.0,0.2,8,0.625,8,0.5,8,0.5,3.570862,0.514172,13
essay027,raw\essays.zip,10,3.3,0.46,4,4.0,0.6,10,3.2,0.44,8,4.625,0.725,10,2.6,0.32,10,2.2,0.24,6,0.666667,6,0.0,6,0.0,3.320833,0.464167,10
essay028,raw\essays.zip,14,2.928571,0.385714,5,4.2,0.64,14,2.785714,0.357143,12,5.166667,0.833333,14,3.0,0.4,14,1.785714,0.157143,9,0.666667,9,0.0,9,0.444444,3.311111,0.462222,14
essay029,raw\essays.zip,14,3.285714,0.457143,6,4.166667,0.633333,14,3.142857,0.428571,12,5.416667,0.883333,14,3.142857,0.428571,14,1.714286,0.142857,8,0.625,8,0.0,8,0.0,3.478175,0.495635,14
essay030,raw\essays.zip,11,1.545455,0.109091,0,,,11,3.0,0.4,9,5.0,0.8,11,2.818182,0.363636,11,1.454545,0.090909,11,0.454545,11,0.0,11,0.272727,2.763636,0.352727,11
essay031,raw\essays.zip,20,3.95,0.59,12,4.083333,0.616667,20,3.2,0.44,18,5.333333,0.866667,20,3.1,0.42,20,2.45,0.29,8,0.75,8,0.0,8,0.0,3.686111,0.537222,20
essay032,raw\essays.zip,16,3.1875,0.4375,6,4.0,0.6,16,2.4375,0.2875,14,5.214286,0.842857,16,2.9375,0.3875,16,1.625,0.125,10,0.4,10,0.0,10,0.3,3.233631,0.446726,16
essay033,raw\essays.zip,8,3.25,0.45,3,4.333333,0.666667,8,3.625,0.525,7,6.0,1.0,8,3.75,0.55,8,1.875,0.175,5,0.8,5,0.0,5,0.4,3.805556,0.561111,8
essay034,raw\essays.zip,17,2.235294,0.247059,6,3.666667,0.533333,17,2.882353,0.376471,15,5.066667,0.813333,17,2.411765,0.282353,17,1.470588,0.094118,11,0.363636,11,0.0,11,0.0,2.955556,0.391111,17
essay035,raw\essays.zip,15,2.933333,0.386667,8,3.5,0.5,15,3.133333,0.426667,13,4.461538,0.692308,15,2.666667,0.333333,15,1.933333,0.186667,7,0.571429,7,0.0,7,0.0,3.104701,0.42094,15
essay036,raw\essays.zip,13,3.923077,0.584615,6,4.666667,0.733333,13,3.384615,0.476923,11,5.818182,0.963636,13,3.538462,0.507692,13,2.0,0.2,7,0.714286,7,0.0,7,0.0,3.888501,0.5777,13
essay037,raw\essays.zip,21,3.190476,0.438095,13,3.538462,0.507692,21,2.857143,0.371429,19,4.842105,0.768421,21,3.0,0.4,21,1.619048,0.12381,8,0.5,8,0.0,8,0.375,3.174539,0.434908,21
essay038,raw\essays.zip,15,3.466667,0.493333,7,4.0,0.6,15,3.466667,0.493333,14,5.642857,0.928571,15,3.133333,0.426667,15,2.133333,0.226667,8,0.625,8,0.0,8,0.0,3.640476,0.528095,15
essay039,raw\essays.zip,13,3.692308,0.538462,7,4.142857,0.628571,13,3.153846,0.430769,11,5.818182,0.963636,13,3.076923,0.415385,13,2.0,0.2,6,0.833333,6,0.0,6,0.0,3.647353,0.529471,13
essay040,raw\essays.zip,14,2.928571,0.385714,6,4.0,0.6,14,2.857143,0.371429,13,5.0,0.8,14,3.142857,0.428571,14,1.714286,0.142857,8,0.5,8,0.0,8,0.0,3.27381,0.454762,14
essay041,raw\essays.zip,9,4.555556,0.711111,6,4.666667,0.733333,9,3.333333,0.466667,8,5.5,0.9,9,3.333333,0.466667,9,3.0,0.4,3,1.0,3,0.0,3,0.666667,4.064815,0.612963,9
essay042,raw\essays.zip,11,4.0,0.6,6,4.333333,0.666667,11,3.454545,0.490909,9,5.222222,0.844444,11,3.727273,0.545455,11,2.545455,0.309091,5,0.8,5,0.0,5,0.0,3.880471,0.576094,11
essay043,raw\essays.zip,12,4.583333,0.716667,6,4.833333,0.766667,12,3.666667,0.533333,10,5.8,0.96,12,4.083333,0.616667,12,2.666667,0.333333,6,0.833333,6,0.0,6,0.666667,4.272222,0.654444,12
essay044,raw\essays.zip,11,3.636364,0.527273,7,3.857143,0.571429,11,3.090909,0.418182,10,5.1,0.82,11,3.0,0.4,11,2.0,0.2,4,0.75,4,0.0,4,0.0,3.447403,0.489481,11
essay045,raw\essays.zip,14,2.285714,0.257143,4,3.25,0.45,14,2.928571,0.385714,12,4.25,0.65,14,2.428571,0.285714,14,1.571429,0.114286,10,0.6,10,0.0,10,0.3,2.785714,0.357143,14
essay046,raw\essays.zip,8,3.0,0.4,3,4.0,0.6,8,4.25,0.65,7,4.714286,0.742857,8,2.75,0.35,8,1.875,0.175,5,1.0,5,0.0,5,0.0,3.431548,0.48631,8
essay047,raw\essays.zip,14,2.142857,0.228571,2,3.5,0.5,14,3.142857,0.428571,12,4.583333,0.716667,14,2.214286,0.242857,14,1.428571,0.085714,12,0.416667,12,0.0,12,0.333333,2.835317,0.367063,14
essay048,raw\essays.zip,11,3.454545,0.490909,4,4.5,0.7,11,3.636364,0.527273,9,5.777778,0.955556,11,3.090909,0.418182,11,2.0,0.2,7,0.714286,7,0.0,7,0.428571,3.743266,0.548653,11
essay049,raw\essays.zip,12,2.75,0.35,6,3.166667,0.433333,12,3.166667,0.433333,10,5.7,0.94,12,2.75,0.35,12,1.5,0.1,6,0.666667,6,0.0,6,0.0,3.172222,0.434444,12
essay050,raw\essays.zip,17,2.764706,0.352941,13,2.692308,0.338462,17,3.352941,0.470588,16,3.625,0.525,17,2.529412,0.305882,17,1.411765,0.082353,4,0.75,4,0.0,4,0.0,2.729355,0.345871,17
essay051,raw\essays.zip,22,2.909091,0.381818,11,3.272727,0.454545,22,2.5,0.3,20,4.8,0.76,22,2.454545,0.290909,22,1.772727,0.154545,11,0.636364,11,0.0,11,0.0,2.951515,0.390303,22
essay052,raw\essays.zip,14,2.428571,0.285714,6,2.833333,0.366667,14,2.642857,0.328571,13,4.307692,0.661538,14,2.357143,0.271429,14,1.428571,0.085714,8,0.5,8,0.0,8,0.125,2.666361,0.333272,14
essay053,raw\essays.zip,13,3.692308,0.538462,8,4.0,0.6,13,3.153846,0.430769,12,5.333333,0.866667,13,2.923077,0.384615,13,1.769231,0.153846,5,0.6,5,0.0,5,0.4,3.478632,0.495726,13
essay054,raw\essays.zip,12,2.583333,0.316667,5,3.0,0.4,12,3.416667,0.483333,10,4.4,0.68,12,2.666667,0.333333,12,1.75,0.15,7,0.714286,7,0.285714,7,0.0,2.969444,0.393889,12
essay055,raw\essays.zip,12,2.75,0.35,6,3.166667,0.433333,12,2.416667,0.283333,11,4.818182,0.763636,12,2.666667,0.333333,12,1.416667,0.083333,6,0.5,6,0.0,6,0.0,2.872475,0.374495,12
essay056,raw\essays.zip,15,2.066667,0.213333,6,2.166667,0.233333,15,2.4,0.28,13,3.769231,0.553846,15,2.266667,0.253333,15,1.6,0.12,9,0.444444,9,0.0,9,0.111111,2.378205,0.275641,15
essay057,raw\essays.zip,19,2.894737,0.378947,6,4.0,0.6,19,3.052632,0.410526,17,4.647059,0.729412,19,2.421053,0.284211,19,2.0,0.2,13,0.538462,13,0.307692,13,0.230769,3.169247,0.433849,19
essay058,raw\essays.zip,21,2.47619,0.295238,8,3.375,0.475,21,2.857143,0.371429,20,4.7,0.74,21,2.0,0.2,21,1.666667,0.133333,13,0.384615,13,0.0,13,0.230769,2.845833,0.369167,21
essay059,raw\essays.zip,19,3.157895,0.431579,9,3.666667,0.533333,19,3.0,0.4,16,5.4375,0.8875,19,2.789474,0.357895,19,1.894737,0.178947,10,0.7,10,0.0,10,0.2,3.324379,0.464876,19
essay060,raw\essays.zip,18,2.333333,0.266667,7,2.571429,0.314286,18,3.111111,0.422222,16,4.0625,0.6125,18,2.111111,0.222222,18,1.555556,0.111111,11,0.454545,11,0.0,11,0.0,2.624173,0.324835,18
essay061,raw\essays.zip,21,3.809524,0.561905,15,4.0,0.6,21,3.142857,0.428571,19,5.578947,0.915789,21,2.761905,0.352381,21,1.761905,0.152381,6,0.833333,6,0.0,6,0.166667,3.50919,0.501838,21
essay062,raw\essays.zip,18,2.944444,0.388889,9,3.111111,0.422222,18,2.888889,0.377778,16,4.8125,0.7625,18,2.277778,0.255556,18,1.888889,0.177778,9,0.555556,9,0.0,9,0.333333,2.987268,0.397454,18
essay063,raw\essays.zip,18,4.833333,0.766667,13,4.076923,0.615385,18,3.222222,0.444444,16,5.0625,0.8125,18,3.166667,0.433333,18,3.0,0.4,5,0.8,5,0.0,5,0.0,3.893607,0.578721,18
essay064,raw\essays.zip,14,4.0,0.6,8,3.75,0.55,14,3.285714,0.457143,12,5.333333,0.866667,14,3.142857,0.428571,14,2.785714,0.357143,6,0.833333,6,0.0,6,0.0,3.71627,0.543254,14
essay065,raw\essays.zip,15,3.133333,0.426667,9,3.444444,0.488889,15,3.266667,0.453333,13,4.384615,0.676923,15,2.466667,0.293333,15,2.0,0.2,6,0.666667,6,0.0,6,0.0,3.115954,0.423191,15
essay066,raw\essays.zip,12,3.583333,0.516667,7,4.142857,0.628571,12,3.083333,0.416667,10,4.9,0.78,12,2.833333,0.366667,12,1.916667,0.183333,5,0.8,5,0.6,5,0.0,3.409921,0.481984,12
essay067,raw\essays.zip,12,3.5,0.5,5,4.4,0.68,12,3.916667,0.583333,10,4.9,0.78,12,3.0,0.4,12,1.916667,0.183333,7,0.428571,7,0.0,7,0.0,3.605556,0.521111,12
essay068,raw\essays.zip,11,2.090909,0.218182,3,2.333333,0.266667,11,2.909091,0.381818,9,3.777778,0.555556,11,2.454545,0.290909,11,1.454545,0.090909,8,0.375,8,0.0,8,0.375,2.503367,0.300673,11
essay069,raw\essays.zip,12,2.666667,0.333333,5,3.4,0.48,12,2.583333,0.316667,10,4.4,0.68,12,2.166667,0.233333,12,1.5,0.1,7,0.714286,7,0.0,7,0.0,2.786111,0.357222,12
essay070,raw\essays.zip,13,2.307692,0.261538,5,2.6,0.32,13,2.769231,0.353846,11,4.181818,0.636364,13,2.615385,0.323077,13,1.461538,0.092308,8,0.5,8,0.0,8,0.0,2.655944,0.331189,13
essay071,raw\essays.zip,10,3.7,0.54,4,4.0,0.6,10,2.9,0.38,8,5.0,0.8,10,3.1,0.42,10,2.4,0.28,6,0.833333,6,0.0,6,0.0,3.516667,0.503333,10
essay072,raw\essays.zip,13,4.230769,0.646154,6,4.666667,0.733333,13,3.230769,0.446154,11,5.181818,0.836364,13,3.230769,0.446154,13,2.538462,0.307692,7,0.714286,7,0.0,7,0.0,3.846542,0.569308,13
essay073,raw\essays.zip,13,4.846154,0.769231,8,5.0,0.8,13,3.538462,0.507692,11,5.181818,0.836364,13,3.153846,0.430769,13,2.769231,0.353846,5,1.0,5,0.8,5,0.0,4.081585,0.616317,13
essay074,raw\essays.zip,12,2.416667,0.283333,6,2.833333,0.366667,12,2.166667,0.233333,11,4.181818,0.636364,12,2.416667,0.283333,12,1.25,0.05,6,0.5,6,0.0,6,0.333333,2.544192,0.308838,12
essay075,raw\essays.zip,11,2.0,0.2,1,2.0,0.2,11,2.545455,0.309091,9,4.222222,0.644444,11,2.181818,0.236364,11,1.454545,0.090909,10,0.4,10,0.0,10,0.0,2.400673,0.280135,11
essay076,raw\essays.zip,10,2.2,0.24,3,2.333333,0.266667,10,2.9,0.38,9,4.666667,0.733333,10,2.5,0.3,10,1.5,0.1,7,0.428571,7,0.0,7,0.0,2.683333,0.336667,10
essay077,raw\essays.zip,14,3.071429,0.414286,9,3.111111,0.422222,14,2.928571,0.385714,12,4.833333,0.766667,14,3.214286,0.442857,14,1.857143,0.171429,5,1.0,5,0.0,5,0.0,3.169312,0.433862,14
essay078,raw\essays.zip,15,3.2,0.44,9,3.444444,0.488889,15,3.266667,0.453333,13,4.846154,0.769231,15,2.533333,0.306667,15,2.266667,0.253333,6,0.833333,6,0.0,6,0.0,3.259544,0.451909,15
essay079,raw\essays.zip,16,2.9375,0.3875,8,3.125,0.425,16,3.5,0.5,13,4.692308,0.738462,16,2.0625,0.2125,16,1.8125,0.1625,8,0.75,8,0.0,8,0.0,3.021635,0.404327,16
essay080,raw\essays.zip,13,3.615385,0.523077,7,3.714286,0.542857,13,2.769231,0.353846,12,5.083333,0.816667,13,2.923077,0.384615,13,2.538462,0.307692,6,0.833333,6,0.0,6,0.166667,3.440629,0.488126,13
essay081,raw\essays.zip,20,2.6,0.32,9,3.222222,0.444444,20,3.15,0.43,17,4.529412,0.705882,20,2.25,0.25,20,1.75,0.15,11,0.727273,11,0.363636,11,0.363636,2.916939,0.383388,20
essay082,raw\essays.zip,11,3.545455,0.509091,6,4.166667,0.633333,11,2.727273,0.345455,10,4.5,0.7,11,2.818182,0.363636,11,2.0,0.2,5,0.8,5,0.0,5,0.0,3.29293,0.458586,11
essay083,raw\essays.zip,11,3.272727,0.454545,6,3.666667,0.533333,11,3.181818,0.436364,9,5.555556,0.911111,11,2.636364,0.327273,11,1.818182,0.163636,5,1.0,5,0.0,5,0.6,3.355219,0.471044,11
essay084,raw\essays.zip,16,3.375,0.475,7,4.428571,0.685714,16,3.25,0.45,14,5.428571,0.885714,16,2.5625,0.3125,16,1.6875,0.1375,9,0.666667,9,0.0,9,0.0,3.455357,0.491071,16
essay085,raw\essays.zip,19,3.789474,0.557895,11,3.636364,0.527273,19,3.578947,0.515789,17,4.764706,0.752941,19,2.684211,0.336842,19,2.421053,0.284211,8,0.75,8,0.0,8,0.25,3.479126,0.495825,19
essay086,raw\essays.zip,15,2.533333,0.306667,8,3.0,0.4,15,2.466667,0.293333,13,4.230769,0.646154,15,2.2,0.24,15,1.466667,0.093333,7,0.857143,7,0.0,7,0.0,2.649573,0.329915,15
essay087,raw\essays.zip,13,2.153846,0.230769,4,2.5,0.3,13,2.230769,0.246154,11,3.636364,0.527273,13,2.538462,0.307692,13,1.384615,0.076923,9,0.777778,9,0.0,9,0.666667,2.407343,0.281469,13
essay088,raw\essays.zip,7,2.0,0.2,2,2.0,0.2,7,1.857143,0.171429,5,4.6,0.72,7,2.428571,0.285714,7,1.571429,0.114286,5,0.8,5,0.2,5,0.0,2.409524,0.281905,7
essay089,raw\essays.zip,16,3.1875,0.4375,6,3.833333,0.566667,16,2.625,0.325,14,4.642857,0.728571,16,2.625,0.325,16,2.0,0.2,10,0.6,10,0.0,10,0.0,3.152282,0.430456,16
essay090,raw\essays.zip,12,2.666667,0.333333,6,3.333333,0.466667,12,1.75,0.15,10,3.7,0.54,12,3.0,0.4,12,1.416667,0.083333,6,0.666667,6,0.0,6,0.5,2.644445,0.328889,12
essay091,raw\essays.zip,14,4.714286,0.742857,7,5.285714,0.857143,14,3.928571,0.585714,12,5.5,0.9,14,3.5,0.5,14,3.0,0.4,7,0.714286,7,0.0,7,0.142857,4.321428,0.664286,14
essay092,raw\essays.zip,12,3.416667,0.483333,6,3.666667,0.533333,12,3.75,0.55,10,4.5,0.7,12,3.5,0.5,12,2.083333,0.216667,6,0.666667,6,0.0,6,0.5,3.486111,0.497222,12
essay093,raw\essays.zip,12,4.833333,0.766667,6,4.5,0.7,12,4.5,0.7,10,4.8,0.76,12,3.666667,0.533333,12,3.083333,0.416667,6,0.666667,6,0.5,6,0.5,4.230555,0.646111,12
essay094,raw\essays.zip,17,2.941176,0.388235,7,3.571429,0.514286,17,2.588235,0.317647,15,3.6,0.52,17,2.882353,0.376471,17,1.882353,0.176471,10,0.6,10,0.0,10,0.0,2.910924,0.382185,17
essay095,raw\essays.zip,16,2.3125,0.2625,4,3.0,0.4,16,2.875,0.375,14,4.714286,0.742857,16,2.5625,0.3125,16,1.625,0.125,12,0.583333,12,0.0,12,0.0,2.848214,0.369643,16
essay096,raw\essays.zip,16,2.625,0.325,7,3.0,0.4,16,2.9375,0.3875,14,4.357143,0.671429,16,2.75,0.35,16,1.6875,0.1375,9,0.555556,9,0.0,9,0.111111,2.892857,0.378571,16
essay097,raw\essays.zip,18,4.777778,0.755556,13,4.769231,0.753846,18,3.444444,0.488889,16,4.5625,0.7125,18,3.944444,0.588889,18,2.5,0.3,5,1.0,5,0.0,5,0.6,3.999733,0.599947,18
essay098,raw\essays.zip,11,4.818182,0.763636,6,4.333333,0.666667,11,3.818182,0.563636,9,5.333333,0.866667,11,4.0,0.6,11,3.090909,0.418182,5,0.8,5,0.0,5,0.0,4.232323,0.646465,11
essay099,raw\essays.zip,14,3.857143,0.571429,9,4.0,0.6,14,3.285714,0.457143,13,5.153846,0.830769,14,3.285714,0.457143,14,1.785714,0.157143,5,0.8,5,0.0,5,0.0,3.561355,0.512271,14
essay100,raw\essays.zip,19,3.894737,0.578947,11,3.909091,0.581818,19,3.368421,0.473684,17,5.470588,0.894118,19,3.0,0.4,19,2.105263,0.221053,8,0.75,8,0.0,8,0.0,3.624683,0.524937,19
essay101,raw\essays.zip,16,5.25,0.85,10,4.9,0.78,16,4.5,0.7,13,4.769231,0.753846,16,3.375,0.475,16,3.125,0.425,6,1.0,6,0.0,6,0.666667,4.319872,0.663974,16
essay102,raw\essays.zip,21,4.142857,0.628571,12,4.25,0.65,21,3.142857,0.428571,19,5.421053,0.884211,21,3.047619,0.409524,21,2.285714,0.257143,9,0.444444,9,0.0,9,0.333333,3.715017,0.543003,21
